! note: initial lines of file can contain comments
!
            52 -- model for mesa/star, with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      2.3280711222540468D+01
                    model_number                            2908
                        star_age      5.0480109868242461D+06
                       initial_z      2.1789999999999999D-03
                        n_shells                            2562
                        net_name   'basic2.net'
                         species                              10

                lnd                        lnT                        lnR                          L                         dq                      omega                   conv_vel                   h1                         he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       ca40                       fe56     
    1    -1.9840319109398492D+01     1.1499899856440778D+01     2.6023578523936219D+01     2.6991347185922460D+39     4.9999999998783133D-13     5.9438480257129162D-06     2.2390121974930274D+02     1.7921459231414644D-01     1.1057434686199953D-08     8.1871245026566956D-01     1.6499692669809753D-05     1.2236823330391539D-03     2.5642176774670746D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    2    -1.9806183335129382D+01     1.1505069462318664D+01     2.6023483824373006D+01     2.6991358647618803D+39     1.1342003140456182D-12     5.9438480257129162D-06     2.2390121974930274D+02     1.7921459231412431D-01     1.1057434686244798D-08     8.1871245026569177D-01     1.6499692669810979D-05     1.2236823330391526D-03     2.5642176774670573D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    3    -1.9749883966185077D+01     1.1514482851265694D+01     2.6023276122818224D+01     2.6991381375279606D+39     1.9026009421732686D-12     5.9438480261047077D-06     1.9042677293212040D+02     1.7921459231397733D-01     1.1057434686542193D-08     8.1871245026583867D-01     1.6499692669819108D-05     1.2236823330391441D-03     2.5642176774669436D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    4    -1.9685452941146156D+01     1.1526609443982724D+01     2.6022946515229996D+01     2.6991410336299366D+39     2.1404260599449123D-12     5.9438480270834412D-06     1.9978550265190479D+02     1.7921459231361673D-01     1.1057434687271914D-08     8.1871245026619927D-01     1.6499692669839049D-05     1.2236823330391231D-03     2.5642176774666651D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    5    -1.9628176458701325D+01     1.1538979511762381D+01     2.6022598491288952D+01     2.6991432604821481D+39     2.1404260599449229D-12     5.9438480284618782D-06     2.0053104288046923D+02     1.7921459231307137D-01     1.1057434688375593D-08     8.1871245026674479D-01     1.6499692669869219D-05     1.2236823330390920D-03     2.5642176774662428D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    6    -1.9587778326751561D+01     1.1548593233252164D+01     2.6022269506897117D+01     2.6991446816996913D+39     1.3080381477440881D-12     5.9438480299893710D-06     2.4112038873115304D+02     1.7921459231261676D-01     1.1057434689295648D-08     8.1871245026719936D-01     1.6499692669894361D-05     1.2236823330390655D-03     2.5642176774658915D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    7    -1.9561381551427810D+01     1.1555716860279079D+01     2.6022076269581044D+01     2.6991452390854684D+39     1.3080381477440978D-12     5.9438480703828187D-06     2.1240650984986642D+02     1.7921459231218486D-01     1.1057434690169694D-08     8.1871245026763119D-01     1.6499692669918251D-05     1.2236823330390405D-03     2.5642176774655580D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    8    -1.9528163821916230D+01     1.1566148106189071D+01     2.6021887958628706D+01     2.6991456078543687D+39     2.6160762954881890D-12     5.9438482454805896D-06     5.0354603147358032D+00     1.7921459228251340D-01     1.1057434750216974D-08     8.1871245029730292D-01     1.6499692671559431D-05     1.2236823330373258D-03     2.5642176774426146D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
    9    -1.9488379723305801D+01     1.1579483754753983D+01     2.6021523339470040D+01     2.6991458900517133D+39     2.6160762954881939D-12     5.9438485425597917D-06     2.0241035816094345D+04     1.7921459228250218D-01     1.1057434750239660D-08     8.1871245029731412D-01     1.6499692671560051D-05     1.2236823330373252D-03     2.5642176774426062D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   10    -1.9457892958808660D+01     1.1589009021584986D+01     2.6021172565378316D+01     2.6991458914480785D+39     1.3080381477440978D-12     5.9438485443208186D-06     5.2274703874489008D+05     1.7921459228250182D-01     1.1057434750240382D-08     8.1871245029731429D-01     1.6499692671560072D-05     1.2236823330373254D-03     2.5642176774426057D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
