! note: initial lines of file can contain comments
!
            52 -- model for mesa/star, with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      2.3280711222540468D+01
                    model_number                            2908
                        star_age      5.0480109868242461D+06
                       initial_z      2.1789999999999999D-03
                        n_shells                            2562
                        net_name   'basic2.net'
                         species                              10

                lnd                        lnT                        lnR                          L                         dq                      omega                   conv_vel                   h1                         he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       ca40                       fe56     
   11    -1.9439549017517311D+01     1.1595196773934557D+01     2.6021002311617476D+01     2.6991458891873096D+39     1.3080381477440914D-12     5.9438485451022957D-06     2.9006514731907699D+04     1.7921459228249736D-01     1.1057434750249401D-08     8.1871245029731891D-01     1.6499692671560319D-05     1.2236823330373249D-03     2.5642176774426022D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   12    -1.9413923725490921D+01     1.1604610969420583D+01     2.6020835067865601D+01     2.6991458860809980D+39     2.7746263740024672D-12     5.9438485464997503D-06     3.6782772644192669D+04     1.7921459228249172D-01     1.1057434750260881D-08     8.1871245029732460D-01     1.6499692671560630D-05     1.2236823330373245D-03     2.5642176774425977D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   13    -1.9377704730864408D+01     1.1616821393632326D+01     2.6020489017394123D+01     2.6991458766955562D+39     2.7746263740024801D-12     5.9438485499018502D-06     3.1456734369943877D+04     1.7921459228248215D-01     1.1057434750280219D-08     8.1871245029733419D-01     1.6499692671561159D-05     1.2236823330373240D-03     2.5642176774425906D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   14    -1.9343175929304711D+01     1.1628479785424759D+01     2.6020154935604349D+01     2.6991458639911103D+39     2.7746263740024605D-12     5.9438485543343606D-06     3.4638043814190062D+04     1.7921459228247307D-01     1.1057434750298553D-08     8.1871245029734325D-01     1.6499692671561660D-05     1.2236823330373236D-03     2.5642176774425835D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   15    -1.9316723502192068D+01     1.1636857204987840D+01     2.6019831874087837D+01     2.6991458478926020D+39     1.3873131870012707D-12     5.9438485595953114D-06     3.7192687594281710D+04     1.7921459228246654D-01     1.1057434750311776D-08     8.1871245029734982D-01     1.6499692671562020D-05     1.2236823330373232D-03     2.5642176774425782D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   16    -1.9300619683163786D+01     1.1642316370683294D+01     2.6019674446764264D+01     2.6991458386392785D+39     1.3873131870012223D-12     5.9438485624105075D-06     4.1493172785887351D+04     1.7921459228246257D-01     1.1057434750319778D-08     8.1871245029735373D-01     1.6499692671562245D-05     1.2236823330373229D-03     2.5642176774425755D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   17    -1.9278538663388090D+01     1.1650324818760959D+01     2.6019519461706006D+01     2.6991458285816509D+39     2.7746263740025027D-12     5.9438485651045009D-06     4.5436417015420902D+04     1.7921459228245710D-01     1.1057434750330878D-08     8.1871245029735923D-01     1.6499692671562547D-05     1.2236823330373225D-03     2.5642176774425711D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   18    -1.9248256010058668D+01     1.1660591877402619D+01     2.6019216052490481D+01     2.6991458060548234D+39     2.7746263740024508D-12     5.9438485709620572D-06     4.9832183167694532D+04     1.7921459228245031D-01     1.1057434750344654D-08     8.1871245029736599D-01     1.6499692671562922D-05     1.2236823330373221D-03     2.5642176774425662D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   19    -1.9219171075965004D+01     1.1670466483922457D+01     2.6018921429412475D+01     2.6991457805470582D+39     2.7746263740024894D-12     5.9438485776315763D-06     5.6692671091839095D+04     1.7921459228244422D-01     1.1057434750356940D-08     8.1871245029737202D-01     1.6499692671563257D-05     1.2236823330373218D-03     2.5642176774425609D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   20    -1.9191197262523758D+01     1.1679977731571848D+01     2.6018635002476626D+01     2.6991457521727442D+39     2.7746263740024765D-12     5.9438485847834190D-06     6.4661219672285747D+04     1.7921459228243885D-01     1.1057434750367836D-08     8.1871245029737735D-01     1.6499692671563554D-05     1.2236823330373214D-03     2.5642176774425569D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   21    -1.9160859208425083D+01     1.1690719890181673D+01     2.6018356240732960D+01     2.6991457211371878D+39     3.7284041900658908D-12     5.9438485922072157D-06     7.3941270067577216D+04     1.7921459228243326D-01     1.1057434750379093D-08     8.1871245029738304D-01     1.6499692671563863D-05     1.2236823330373212D-03     2.5642176774425524D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   22    -1.9126324984078156D+01     1.1702486719442004D+01     2.6017992497815667D+01     2.6991456753491656D+39     3.7284041900658455D-12     5.9438486027015287D-06     8.6897662009315084D+04     1.7921459228242779D-01     1.1057434750390162D-08     8.1871245029738854D-01     1.6499692671564165D-05     1.2236823330373207D-03     2.5642176774425484D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   23    -1.9093354701151966D+01     1.1713741980062628D+01     2.6017640724703579D+01     2.6991456253437067D+39     3.7284041900658841D-12     5.9438486137913200D-06     1.0180076430503461D+05     1.7921459228242313D-01     1.1057434750399643D-08     8.1871245029739316D-01     1.6499692671564424D-05     1.2236823330373207D-03     2.5642176774425449D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   24    -1.9068092000759923D+01     1.1721842778397177D+01     2.6017300006805577D+01     2.6991455711769378D+39     1.8642020950328872D-12     5.9438486253382718D-06     1.1783719877158569D+05     1.7921459228242008D-01     1.1057434750405785D-08     8.1871245029739618D-01     1.6499692671564591D-05     1.2236823330373203D-03     2.5642176774425426D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   25    -1.9052684140651765D+01     1.1727126040304940D+01     2.6017133771308755D+01     2.6991455427251946D+39     1.8642020950328937D-12     5.9438486311176808D-06     1.2713155964569475D+05     1.7921459228241822D-01     1.1057434750409578D-08     8.1871245029739796D-01     1.6499692671564694D-05     1.2236823330373203D-03     2.5642176774425409D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   26    -1.9031523491940241D+01     1.1734882571732121D+01     2.6016969996462746D+01     2.6991455133507438D+39     3.7284041900660072D-12     5.9438486366857352D-06     1.3694106935254430D+05     1.7921459228241561D-01     1.1057434750414856D-08     8.1871245029740062D-01     1.6499692671564840D-05     1.2236823330373203D-03     2.5642176774425391D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   27    -1.9002511424174890D+01     1.1744840319106495D+01     2.6016649071881303D+01     2.6991454517494388D+39     3.7284041900659166D-12     5.9438486477525129D-06     1.5668341282401428D+05     1.7921459228241259D-01     1.1057434750420995D-08     8.1871245029740382D-01     1.6499692671565009D-05     1.2236823330373198D-03     2.5642176774425369D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   28    -1.8974624178347774D+01     1.1754430011766807D+01     2.6016337028090328D+01     2.6991453868923072D+39     3.7284041900659685D-12     5.9438486587960666D-06     1.7830408075382577D+05     1.7921459228240992D-01     1.1057434750426364D-08     8.1871245029740649D-01     1.6499692671565153D-05     1.2236823330373198D-03     2.5642176774425347D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   29    -1.8947779906889095D+01     1.1763678072687477D+01     2.6016033285691766D+01     2.6991453189567642D+39     3.7284041900659943D-12     5.9438486695355416D-06     2.0168951495178828D+05     1.7921459228240759D-01     1.1057434750431085D-08     8.1871245029740880D-01     1.6499692671565282D-05     1.2236823330373198D-03     2.5642176774425329D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   30    -1.8923118148220240D+01     1.1772077836307313D+01     2.6015737322451664D+01     2.6991452481025075D+39     3.2837207667325070D-12     5.9438486798887462D-06     2.2668635458428201D+05     1.7921459228240566D-01     1.1057434750435011D-08     8.1871245029741057D-01     1.6499692671565391D-05     1.2236823330373196D-03     2.5642176774425311D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   31    -1.8901038844079636D+01     1.1779711716697776D+01     2.6015482798209017D+01     2.6991451834513831D+39     3.2837207667324683D-12     5.9438486886088535D-06     2.5022721770747109D+05     1.7921459228240403D-01     1.1057434750438321D-08     8.1871245029741217D-01     1.6499692671565481D-05     1.2236823330373196D-03     2.5642176774425298D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   32    -1.8871920881193229D+01     1.1790815211708516D+01     2.6015233643929240D+01     2.6991451168229954D+39     6.5674415334647422D-12     5.9438486968239132D-06     2.7584062520969259D+05     1.7921459228240179D-01     1.1057434750442798D-08     8.1871245029741448D-01     1.6499692671565602D-05     1.2236823330373194D-03     2.5642176774425280D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   33    -1.8831375441516586D+01     1.1804846959843824D+01     2.6014749102955012D+01     2.6991449772213855D+39     6.5674415334646649D-12     5.9438487121205607D-06     3.3020460707053156D+05     1.7921459228239937D-01     1.1057434750447725D-08     8.1871245029741697D-01     1.6499692671565739D-05     1.2236823330373192D-03     2.5642176774425262D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   34    -1.8800144539705215D+01     1.1814848949360225D+01     2.6014283151104335D+01     2.6991448308220764D+39     3.2837207667325198D-12     5.9438487261073937D-06     3.8749397813678418D+05     1.7921459228239782D-01     1.1057434750450820D-08     8.1871245029741857D-01     1.6499692671565826D-05     1.2236823330373189D-03     2.5642176774425249D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   35    -1.8781521585350134D+01     1.1821339867027726D+01     2.6014057104253578D+01     2.6991447557290335D+39     3.2837207667324941D-12     5.9438487325127793D-06     4.1817023978946723D+05     1.7921459228239690D-01     1.1057434750452717D-08     8.1871245029741945D-01     1.6499692671565872D-05     1.2236823330373192D-03     2.5642176774425244D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   36    -1.8756512244594048D+01     1.1830824501650674D+01     2.6013835078931997D+01     2.6991446792858879D+39     6.5674415334646907D-12     5.9438487384797475D-06     4.5115897029698537D+05     1.7921459228239562D-01     1.1057434750455334D-08     8.1871245029742070D-01     1.6499692671565949D-05     1.2236823330373189D-03     2.5642176774425231D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   37    -1.8721905751536318D+01     1.1842903621607439D+01     2.6013401569945600D+01     2.6991445221274097D+39     6.5674415334646649D-12     5.9438487494390219D-06     5.1999915577917690D+05     1.7921459228239415D-01     1.1057434750458317D-08     8.1871245029742212D-01     1.6499692671566029D-05     1.2236823330373187D-03     2.5642176774425222D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   38    -1.8688914984781847D+01     1.1854447929752387D+01     2.6012982270534390D+01     2.6991443608907439D+39     6.5674415334646392D-12     5.9438487592432656D-06     5.9187993835912644D+05     1.7921459228239284D-01     1.1057434750460892D-08     8.1871245029742336D-01     1.6499692671566097D-05     1.2236823330373189D-03     2.5642176774425218D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   39    -1.8657395442951958D+01     1.1865502984555189D+01     2.6012576075782729D+01     2.6991441959860025D+39     6.5674415334652724D-12     5.9438487679980180D-06     6.6754866533851977D+05     1.7921459228239173D-01     1.1057434750463142D-08     8.1871245029742443D-01     1.6499692671566156D-05     1.2236823330373187D-03     2.5642176774425204D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   40    -1.8627888068749458D+01     1.1875790359737672D+01     2.6012182011685829D+01     2.6991440279733285D+39     6.1710663371783631D-12     5.9438487758379769D-06     7.4646609115862592D+05     1.7921459228239083D-01     1.1057434750465056D-08     8.1871245029742532D-01     1.6499692671566212D-05     1.2236823330373187D-03     2.5642176774425196D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   41    -1.8600638010058059D+01     1.1885389657073641D+01     2.6011822090708256D+01     2.6991438678504038D+39     6.1710663371782601D-12     5.9438487824754986D-06     8.2350919080394007D+05     1.7921459228239000D-01     1.1057434750466714D-08     8.1871245029742620D-01     1.6499692671566259D-05     1.2236823330373185D-03     2.5642176774425191D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   42    -1.8574402916532697D+01     1.1894648742839544D+01     2.6011471471676497D+01     2.6991437059422453D+39     6.1710663371784670D-12     5.9438487884979407D-06     9.0330805684521138D+05     1.7921459228238926D-01     1.1057434750468202D-08     8.1871245029742691D-01     1.6499692671566299D-05     1.2236823330373187D-03     2.5642176774425187D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   43    -1.8549111152902046D+01     1.1903591062700034D+01     2.6011129576586933D+01     2.6991435426734531D+39     6.1710663371784155D-12     5.9438487939804200D-06     9.8554751422711373D+05     1.7921459228238858D-01     1.1057434750469545D-08     8.1871245029742780D-01     1.6499692671566337D-05     1.2236823330373187D-03     2.5642176774425178D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   44    -1.8516630897396414D+01     1.1916533062917289D+01     2.6010795882202648D+01     2.6991433785095200D+39     1.2342132674356582D-11     5.9438487989715884D-06     1.0728485653506216D+06     1.7921459228238769D-01     1.1057434750471368D-08     8.1871245029742869D-01     1.6499692671566384D-05     1.2236823330373185D-03     2.5642176774425173D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   45    -1.8478527572567042D+01     1.1928723659457587D+01     2.6010148871119107D+01     2.6991430455571925D+39     6.1710663371784155D-12     5.9438488078432989D-06     1.2482081061871863D+06     1.7921459228238694D-01     1.1057434750472889D-08     8.1871245029742940D-01     1.6499692671566428D-05     1.2236823330373185D-03     2.5642176774425169D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   46    -1.8456408260031789D+01     1.1936590434399725D+01     2.6009837012062111D+01     2.6991428796978857D+39     6.1710663371784155D-12     5.9438488117460392D-06     1.3353250816416599D+06     1.7921459228238648D-01     1.1057434750473824D-08     8.1871245029742976D-01     1.6499692671566452D-05     1.2236823330373183D-03     2.5642176774425160D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   47    -1.8427490283680430D+01     1.1948024531185037D+01     2.6009531692857530D+01     2.6991427136869083D+39     1.2342132674356660D-11     5.9438488153496003D-06     1.4295491713130976D+06     1.7921459228238583D-01     1.1057434750475116D-08     8.1871245029743047D-01     1.6499692671566490D-05     1.2236823330373183D-03     2.5642176774425160D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   48    -1.8394095619354608D+01     1.1958868787154333D+01     2.6008937659225215D+01     2.6991423800055072D+39     6.1710663371783374D-12     5.9438488218571245D-06     1.6153889907866041D+06     1.7921459228238527D-01     1.1057434750476227D-08     8.1871245029743100D-01     1.6499692671566519D-05     1.2236823330373185D-03     2.5642176774425156D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   49    -1.8374430382391013D+01     1.1965891823530452D+01     2.6008650017209005D+01     2.6991422147796679D+39     6.1710663371784670D-12     5.9438488247744416D-06     1.7061214381033938D+06     1.7921459228238494D-01     1.1057434750476917D-08     8.1871245029743136D-01     1.6499692671566537D-05     1.2236823330373185D-03     2.5642176774425151D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   50    -1.8348358579632574D+01     1.1976133998207858D+01     2.6008367735269257D+01     2.6991420501835783D+39     1.2342132674356633D-11     5.9438488275006005D-06     1.8029492227272189D+06     1.7921459228238447D-01     1.1057434750477888D-08     8.1871245029743189D-01     1.6499692671566561D-05     1.2236823330373183D-03     2.5642176774425147D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   51    -1.8311941092727924D+01     1.1989135434964652D+01     2.6007817012710887D+01     2.6991417220716171D+39     1.2342132674356556D-11     5.9438488324828755D-06     1.9966248625319630D+06     1.7921459228238390D-01     1.1057434750479027D-08     8.1871245029743242D-01     1.6499692671566594D-05     1.2236823330373183D-03     2.5642176774425147D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   52    -1.8279081606279515D+01     1.2000603403029881D+01     2.6007285122233376D+01     2.6991413984354122D+39     1.0498988011628438D-11     5.9438488369171960D-06     2.1816509170366220D+06     1.7921459228238346D-01     1.1057434750479966D-08     8.1871245029743278D-01     1.6499692671566621D-05     1.2236823330373183D-03     2.5642176774425142D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   53    -1.8250804560779812D+01     1.2010734377943876D+01     2.6006846651208586D+01     2.6991411272836542D+39     1.0498988011629162D-11     5.9438488403291902D-06     2.3375075396539659D+06     1.7921459228238305D-01     1.1057434750480754D-08     8.1871245029743331D-01     1.6499692671566641D-05     1.2236823330373183D-03     2.5642176774425138D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   54    -1.8223600732283957D+01     1.2020488993155142D+01     2.6006419851602764D+01     2.6991408598939599D+39     1.0498988011628154D-11     5.9438488434632184D-06     2.4930642237405349D+06     1.7921459228238269D-01     1.1057434750481480D-08     8.1871245029743366D-01     1.6499692671566659D-05     1.2236823330373181D-03     2.5642176774425133D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   55    -1.8197390100127847D+01     1.2029894348666987D+01     2.6006003980743961D+01     2.6991405965800794D+39     1.0498988011627998D-11     5.9438488463579828D-06     2.6465314675171138D+06     1.7921459228238236D-01     1.1057434750482149D-08     8.1871245029743384D-01     1.6499692671566679D-05     1.2236823330373181D-03     2.5642176774425133D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   56    -1.8164127860741832D+01     1.2043484106352764D+01     2.6005598369014197D+01     2.6991403377814315D+39     2.0997976023256978D-11     5.9438488490396723D-06     2.8054109269974695D+06     1.7921459228238189D-01     1.1057434750483077D-08     8.1871245029743437D-01     1.6499692671566705D-05     1.2236823330373183D-03     2.5642176774425133D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   57    -1.8124345639127829D+01     1.2056252052525782D+01     2.6004812281056164D+01     2.6991398292593280D+39     1.0498988011628103D-11     5.9438488539166121D-06     3.1007263396584057D+06     1.7921459228238150D-01     1.1057434750483887D-08     8.1871245029743491D-01     1.6499692671566725D-05     1.2236823330373183D-03     2.5642176774425129D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   58    -1.8101460952572407D+01     1.2064480267355059D+01     2.6004433905906605D+01     2.6991395841418288D+39     1.0498988011627894D-11     5.9438488561131581D-06     3.2340874783971433D+06     1.7921459228238125D-01     1.1057434750484398D-08     8.1871245029743509D-01     1.6499692671566741D-05     1.2236823330373183D-03     2.5642176774425124D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   59    -1.8077358326555444D+01     1.2073368015136156D+01     2.6004063675924422D+01     2.6991393436596973D+39     1.2902012639112310D-11     5.9438488581868904D-06     3.3721559100936024D+06     1.7921459228238097D-01     1.1057434750484931D-08     8.1871245029743526D-01     1.6499692671566757D-05     1.2236823330373181D-03     2.5642176774425120D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   60    -1.8051052143657139D+01     1.2082820744268893D+01     2.6003618998761179D+01     2.6991390545125089D+39     1.2902012639112361D-11     5.9438488605840555D-06     3.5346549124844823D+06     1.7921459228238070D-01     1.1057434750485481D-08     8.1871245029743562D-01     1.6499692671566769D-05     1.2236823330373181D-03     2.5642176774425120D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   61    -1.8025652707143127D+01     1.2091945795529905D+01     2.6003185295775956D+01     2.6991387728448432D+39     1.2902012639111948D-11     5.9438488628326355D-06     3.6862655803714408D+06     1.7921459228238045D-01     1.1057434750485997D-08     8.1871245029743580D-01     1.6499692671566783D-05     1.2236823330373181D-03     2.5642176774425120D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   62    -1.8001095421263650D+01     1.2100765203899119D+01     2.6002761925941579D+01     2.6991384987128017D+39     1.2902012639111948D-11     5.9438488649527423D-06     3.8283580339916621D+06     1.7921459228238023D-01     1.1057434750486485D-08     8.1871245029743597D-01     1.6499692671566799D-05     1.2236823330373181D-03     2.5642176774425120D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   63    -1.7969630094769071D+01     1.2113538481294758D+01     2.6002348307334677D+01     2.6991382323938863D+39     2.5804025278221156D-11     5.9438488669569027D-06     3.9698081074227665D+06     1.7921459228237985D-01     1.1057434750487178D-08     8.1871245029743633D-01     1.6499692671566814D-05     1.2236823330373181D-03     2.5642176774425111D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
   64    -1.7932194785121859D+01     1.2125584707934804D+01     2.6001545229989044D+01     2.6991377184265994D+39     1.2902012639111637D-11     5.9438488707060503D-06     4.2088049350457010D+06     1.7921459228237958D-01     1.1057434750487806D-08     8.1871245029743668D-01     1.6499692671566831D-05     1.2236823330373181D-03     2.5642176774425111D-05     2.0616156487931598D-04     9.4403532751410956D-05     2.5751234175968940D-04     2.4904472087510964D-04 
